id,name,address1,city,state,zip,latitude,longitude,timezone,phone,email,manager
1,Schuster-Jakubowski,8842 Valley Edge Road,Worcester,Massachusetts,01610,42.2492,-71.8108,America/New_York,508-415-6315,focahey0@ox.ac.uk,Fitzgerald O'Cahey
2,Ratke Group,7 Vahlen Alley,San Antonio,Texas,78255,29.6701,-98.6873,America/Chicago,210-917-1581,jmolloy1@sakura.ne.jp,Johann Molloy
3,"Monahan, Bosco and Gulgowski",151 Schurz Place,Visalia,California,93291,36.3551,-119.301,America/Los_Angeles,209-844-5624,pvasyunin2@admin.ch,Peggie Vasyunin
4,Stokes-O'Hara,85856 Schiller Parkway,Van Nuys,California,91406,34.2006,-118.4868,America/Los_Angeles,626-652-0318,mhundey3@java.com,Merry Hundey
5,Ritchie and Sons,32446 Clarendon Way,Wilmington,North Carolina,28410,34.0881,-77.8526,America/New_York,910-586-5608,sforst4@hhs.gov,Sephira Forst
6,"Adams, Hartmann and Rosenbaum",90 Barby Trail,New Haven,Connecticut,06538,41.3657,-72.9275,America/New_York,203-847-4399,tloram5@issuu.com,Tiphanie Loram
7,Ernser-Dare,41480 Quincy Alley,Orlando,Florida,32885,28.5456,-81.3782,America/New_York,407-952-1624,jfrantsev6@cisco.com,Jimmy Frantsev
8,Collier-Hahn,024 Reinke Point,New Orleans,Louisiana,70149,30.033,-89.8826,America/Chicago,504-261-4502,mmeas7@abc.net.au,Merralee Meas
9,Ankunding-Hane,68 Corry Center,Johnstown,Pennsylvania,15906,40.3522,-78.9383,America/New_York,814-819-3268,lcullotey8@statcounter.com,Laureen Cullotey
10,"Ortiz, Schmidt and Murazik",322 Aberg Way,Huntington,West Virginia,25716,38.4134,-82.2774,America/New_York,304-337-2343,tenrico9@umich.edu,Tracee Enrico
11,Bartoletti-Hahn,249 Maywood Way,Boise,Idaho,83732,43.4599,-116.244,America/Boise,208-181-0337,lkralea@hugedomains.com,Lucy Krale
